collected_at,source_method,sitemap_url,url,url_type,lastmod
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/guong-tam-vg834-vsdg4,product_or_collection,2026-05-14T03:40:39Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/g5,page_or_collection,2026-05-14T03:40:39Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/sen-tam-cay-nong-lanh-2-bat-sen-vg583,product_or_collection,2026-05-14T08:49:33Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/sen-cay-co-voi-2-bat-sen-vg593,product_or_collection,2026-05-14T09:07:20Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/vg502,product_or_collection,2026-05-14T08:49:33Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/vg504,product_or_collection,2026-05-14T08:49:33Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/sen-tam-nong-lanh-vg511,product_or_collection,2026-05-14T08:49:33Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/sen-tam-nong-lanh-vg514,product_or_collection,2026-05-14T08:49:33Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/sen-tam-nong-lanh-vg515,product_or_collection,2026-05-14T08:49:33Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/sen-tam-nong-lanh-day-sen-nhua-vg541,product_or_collection,2026-05-14T09:08:02Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/vg813,product_or_collection,2026-05-14T03:40:39Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/syphon-chau-num-lat-vg814,product_or_collection,2026-05-14T03:40:39Z
